Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,205.5,-92.5,45,top
C2,0.1uF,C_0402_1005Metric,195,-99,180,top
C6,0.1uF,C_0402_1005Metric,201.41043,-90.856444,90,top
C7,0.1uF,C_0402_1005Metric,204,-92.5,90,top
C8,0.1uF,C_0402_1005Metric,200.5,-90,90,top
C9,0.1uF,C_0402_1005Metric,205,-104.5,-45,top
C10,0.1uF,C_0402_1005Metric,199.560591,-88.635233,90,top
C11,1uF,C_0402_1005Metric,203.344207,-89.709221,90,top
C12,10uF,C_0603_1608Metric,195.5,-85,-90,top
C13,10uF,C_0603_1608Metric,197.5,-88,180,top
C14,15pF,C_0402_1005Metric,200,-104,180,top
C15,15pF,C_0402_1005Metric,197.5,-106,90,top
C17,0.1uF,C_0402_1005Metric,204,-105,-45,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,200.5,-77.455,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,191.439678,-76.331419,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,209.627987,-76.34416,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,197.96,-124,90,top
R1,5.1k,R_0402_1005Metric,203,-87.49,-90,top
R2,5.1k,R_0402_1005Metric,200.5,-85.5,-90,top
R3,27,R_0402_1005Metric,201.5,-85.5,-90,top
R4,27,R_0402_1005Metric,202.5,-85.51,-90,top
R5,1k,R_0402_1005Metric,203,-107,-90,top
R6,10k,R_0402_1005Metric,196,-94.5,135,top
R7,1k,R_0402_1005Metric,204.99,-90.5,-90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,205.5,-86,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,201.0625,-98.2,0,top
U2,MCP1700x-330xxTT,SOT-23,198,-84.9375,90,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,197.075,-91.75,0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,200.4,-106.35,0,top
